x,custom,boost,derivation
-10.0000000000,-0.2459357645,-0.2459357645,0.0434726585
-9.9990000000,-0.2458921666,-0.2458921666,0.0437229329
-9.9980000000,-0.2458483184,-0.2458483184,0.0439731889
-9.9970000000,-0.2458042200,-0.2458042200,0.0442234265
-9.9960000000,-0.2457598714,-0.2457598714,0.0444736453
-9.9950000000,-0.2457152726,-0.2457152726,0.0447238451
-9.9940000000,-0.2456704235,-0.2456704235,0.0449740256
-9.9930000000,-0.2456253243,-0.2456253243,0.0452241867
-9.9920000000,-0.2455799750,-0.2455799750,0.0454743280
-9.9910000000,-0.2455343755,-0.2455343755,0.0457244494
-9.9900000000,-0.2454885259,-0.2454885259,0.0459745505
-9.9890000000,-0.2454424263,-0.2454424263,0.0462246311
-9.9880000000,-0.2453960765,-0.2453960765,0.0464746910
-9.9870000000,-0.2453494767,-0.2453494767,0.0467247299
-9.9860000000,-0.2453026269,-0.2453026269,0.0469747476
-9.9850000000,-0.2452555271,-0.2452555271,0.0472247438
-9.9840000000,-0.2452081773,-0.2452081773,0.0474747183
-9.9830000000,-0.2451605775,-0.2451605775,0.0477246709
-9.9820000000,-0.2451127278,-0.2451127278,0.0479746012
-9.9810000000,-0.2450646281,-0.2450646281,0.0482245091
-9.9800000000,-0.2450162786,-0.2450162786,0.0484743943
-9.9790000000,-0.2449676792,-0.2449676792,0.0487242565
-9.9780000000,-0.2449188299,-0.2449188299,0.0489740955
-9.9770000000,-0.2448697308,-0.2448697308,0.0492239111
-9.9760000000,-0.2448203819,-0.2448203819,0.0494737030
-9.9750000000,-0.2447707833,-0.2447707833,0.0497234709
-9.9740000000,-0.2447209348,-0.2447209348,0.0499732147
-9.9730000000,-0.2446708367,-0.2446708367,0.0502229340
-9.9720000000,-0.2446204888,-0.2446204888,0.0504726287
-9.9710000000,-0.2445698913,-0.2445698913,0.0507222984
-9.9700000000,-0.2445190441,-0.2445190441,0.0509719429
-9.9690000000,-0.2444679472,-0.2444679472,0.0512215621
-9.9680000000,-0.2444166008,-0.2444166008,0.0514711555
-9.9670000000,-0.2443650048,-0.2443650048,0.0517207230
-9.9660000000,-0.2443131592,-0.2443131592,0.0519702644
-9.9650000000,-0.2442610641,-0.2442610641,0.0522197794
-9.9640000000,-0.2442087195,-0.2442087195,0.0524692677
-9.9630000000,-0.2441561254,-0.2441561254,0.0527187291
-9.9620000000,-0.2441032819,-0.2441032819,0.0529681633
-9.9610000000,-0.2440501890,-0.2440501890,0.0532175702
-9.9600000000,-0.2439968466,-0.2439968466,0.0534669494
-9.9590000000,-0.2439432549,-0.2439432549,0.0537163007
-9.9580000000,-0.2438894139,-0.2438894139,0.0539656239
-9.9570000000,-0.2438353235,-0.2438353235,0.0542149187
-9.9560000000,-0.2437809839,-0.2437809839,0.0544641848
-9.9550000000,-0.2437263950,-0.2437263950,0.0547134221
-9.9540000000,-0.2436715569,-0.2436715569,0.0549626302
-9.9530000000,-0.2436164696,-0.2436164696,0.0552118090
-9.9520000000,-0.2435611332,-0.2435611332,0.0554609582
-9.9510000000,-0.2435055476,-0.2435055476,0.0557100775
-9.9500000000,-0.2434497129,-0.2434497129,0.0559591666
-9.9490000000,-0.2433936291,-0.2433936291,0.0562082254
-9.9480000000,-0.2433372963,-0.2433372963,0.0564572536
-9.9470000000,-0.2432807145,-0.2432807145,0.0567062510
-9.9460000000,-0.2432238837,-0.2432238837,0.0569552172
-9.9450000000,-0.2431668039,-0.2431668039,0.0572041521
-9.9440000000,-0.2431094752,-0.2431094752,0.0574530554
-9.9430000000,-0.2430518977,-0.2430518977,0.0577019268
-9.9420000000,-0.2429940712,-0.2429940712,0.0579507662
-9.9410000000,-0.2429359960,-0.2429359960,0.0581995732
-9.9400000000,-0.2428776720,-0.2428776720,0.0584483476
-9.9390000000,-0.2428190992,-0.2428190992,0.0586970892
-9.9380000000,-0.2427602777,-0.2427602777,0.0589457977
-9.9370000000,-0.2427012074,-0.2427012074,0.0591944729
-9.9360000000,-0.2426418886,-0.2426418886,0.0594431145
-9.9350000000,-0.2425823211,-0.2425823211,0.0596917223
-9.9340000000,-0.2425225050,-0.2425225050,0.0599402961
-9.9330000000,-0.2424624404,-0.2424624404,0.0601888355
-9.9320000000,-0.2424021272,-0.2424021272,0.0604373404
-9.9310000000,-0.2423415656,-0.2423415656,0.0606858104
-9.9300000000,-0.2422807555,-0.2422807555,0.0609352449
-9.9290000000,-0.2422196969,-0.2422196969,0.0611836411
-9.9280000000,-0.2421583901,-0.2421583901,0.0614320017
-9.9270000000,-0.2420968348,-0.2420968348,0.0616803266
-9.9260000000,-0.2420350313,-0.2420350313,0.0619286154
-9.9250000000,-0.2419729794,-0.2419729794,0.0621768680
-9.9240000000,-0.2419106794,-0.2419106794,0.0624250840
-9.9230000000,-0.2418481311,-0.2418481311,0.0626732633
-9.9220000000,-0.2417853347,-0.2417853347,0.0629214055
-9.9210000000,-0.2417222901,-0.2417222901,0.0631695105
-9.9200000000,-0.2416589975,-0.2416589975,0.0634175780
-9.9190000000,-0.2415954568,-0.2415954568,0.0636656077
-9.9180000000,-0.2415316681,-0.2415316681,0.0639135995
-9.9170000000,-0.2414676314,-0.2414676314,0.0641615529
-9.9160000000,-0.2414033467,-0.2414033467,0.0644094679
-9.9150000000,-0.2413388142,-0.2413388142,0.0646573442
-9.9140000000,-0.2412740338,-0.2412740338,0.0649051814
-9.9130000000,-0.2412090056,-0.2412090056,0.0651529794
-9.9120000000,-0.2411437296,-0.2411437296,0.0654007379
-9.9110000000,-0.2410782059,-0.2410782059,0.0656484567
-9.9100000000,-0.2410124345,-0.2410124345,0.0658961356
-9.9090000000,-0.2409464154,-0.2409464154,0.0661437741
-9.9080000000,-0.2408801487,-0.2408801487,0.0663913723
-9.9070000000,-0.2408136344,-0.2408136344,0.0666389297
-9.9060000000,-0.2407468726,-0.2407468726,0.0668864461
-9.9050000000,-0.2406798632,-0.2406798632,0.0671339214
-9.9040000000,-0.2406126064,-0.2406126064,0.0673813552
-9.9030000000,-0.2405451022,-0.2405451022,0.0676287472
-9.9020000000,-0.2404773506,-0.2404773506,0.0678760974
-9.9010000000,-0.2404093517,-0.2404093517,0.0681234053
-9.9000000000,-0.2403411055,-0.2403411055,0.0683706708
-9.8990000000,-0.2402726121,-0.2402726121,0.0686178936
-9.8980000000,-0.2402038714,-0.2402038714,0.0688650735
-9.8970000000,-0.2401348836,-0.2401348836,0.0691122102
-9.8960000000,-0.2400656487,-0.2400656487,0.0693593035
-9.8950000000,-0.2399961667,-0.2399961667,0.0696063531
-9.8940000000,-0.2399264376,-0.2399264376,0.0698533588
-9.8930000000,-0.2398564616,-0.2398564616,0.0701003203
-9.8920000000,-0.2397862387,-0.2397862387,0.0703472374
-9.8910000000,-0.2397157688,-0.2397157688,0.0705941098
-9.8900000000,-0.2396450521,-0.2396450521,0.0708409373
-9.8890000000,-0.2395740885,-0.2395740885,0.0710877197
-9.8880000000,-0.2395028783,-0.2395028783,0.0713344567
-9.8870000000,-0.2394314213,-0.2394314213,0.0715811481
-9.8860000000,-0.2393597176,-0.2393597176,0.0718277935
-9.8850000000,-0.2392877673,-0.2392877673,0.0720743928
-9.8840000000,-0.2392155704,-0.2392155704,0.0723209458
-9.8830000000,-0.2391431270,-0.2391431270,0.0725674521
-9.8820000000,-0.2390704371,-0.2390704371,0.0728139115
-9.8810000000,-0.2389975008,-0.2389975008,0.0730603238
-9.8800000000,-0.2389243180,-0.2389243180,0.0733066888
-9.8790000000,-0.2388508890,-0.2388508890,0.0735530061
-9.8780000000,-0.2387772136,-0.2387772136,0.0737992756
-9.8770000000,-0.2387032920,-0.2387032920,0.0740454970
-9.8760000000,-0.2386291242,-0.2386291242,0.0742916700
-9.8750000000,-0.2385547102,-0.2385547102,0.0745377945
-9.8740000000,-0.2384800501,-0.2384800501,0.0747838700
-9.8730000000,-0.2384051440,-0.2384051440,0.0750298965
-9.8720000000,-0.2383299919,-0.2383299919,0.0752758737
-9.8710000000,-0.2382545938,-0.2382545938,0.0755218013
-9.8700000000,-0.2381789498,-0.2381789498,0.0757676791
-9.8690000000,-0.2381030600,-0.2381030600,0.0760135068
-9.8680000000,-0.2380269243,-0.2380269243,0.0762592841
-9.8670000000,-0.2379505429,-0.2379505429,0.0765050110
-9.8660000000,-0.2378739158,-0.2378739158,0.0767506870
-9.8650000000,-0.2377970430,-0.2377970430,0.0769963119
-9.8640000000,-0.2377199247,-0.2377199247,0.0772418856
-9.8630000000,-0.2376425608,-0.2376425608,0.0774874077
-9.8620000000,-0.2375649513,-0.2375649513,0.0777328780
-9.8610000000,-0.2374870965,-0.2374870965,0.0779782963
-9.8600000000,-0.2374089962,-0.2374089962,0.0782236623
-9.8590000000,-0.2373306506,-0.2373306506,0.0784689758
-9.8580000000,-0.2372520597,-0.2372520597,0.0787142365
-9.8570000000,-0.2371732236,-0.2371732236,0.0789594442
-9.8560000000,-0.2370941423,-0.2370941423,0.0792045986
-9.8550000000,-0.2370148159,-0.2370148159,0.0794496995
-9.8540000000,-0.2369352444,-0.2369352444,0.0796947467
-9.8530000000,-0.2368554278,-0.2368554278,0.0799397398
-9.8520000000,-0.2367753663,-0.2367753663,0.0801846788
-9.8510000000,-0.2366950599,-0.2366950599,0.0804295632
-9.8500000000,-0.2366145086,-0.2366145086,0.0806743929
-9.8490000000,-0.2365337125,-0.2365337125,0.0809191676
-9.8480000000,-0.2364526717,-0.2364526717,0.0811638871
-9.8470000000,-0.2363713862,-0.2363713862,0.0814085511
-9.8460000000,-0.2362898560,-0.2362898560,0.0816531594
-9.8450000000,-0.2362080813,-0.2362080813,0.0818977117
-9.8440000000,-0.2361260620,-0.2361260620,0.0821422079
-9.8430000000,-0.2360437983,-0.2360437983,0.0823866476
-9.8420000000,-0.2359612901,-0.2359612901,0.0826310305
-9.8410000000,-0.2358785376,-0.2358785376,0.0828753566
-9.8400000000,-0.2357955408,-0.2357955408,0.0831196254
-9.8390000000,-0.2357122997,-0.2357122997,0.0833638369
-9.8380000000,-0.2356288145,-0.2356288145,0.0836079906
-9.8370000000,-0.2355450851,-0.2355450851,0.0838520865
-9.8360000000,-0.2354611116,-0.2354611116,0.0840961241
-9.8350000000,-0.2353768942,-0.2353768942,0.0843401034
-9.8340000000,-0.2352924328,-0.2352924328,0.0845840240
-9.8330000000,-0.2352077275,-0.2352077275,0.0848278857
-9.8320000000,-0.2351227784,-0.2351227784,0.0850716882
-9.8310000000,-0.2350375855,-0.2350375855,0.0853154314
-9.8300000000,-0.2349521488,-0.2349521488,0.0855591149
-9.8290000000,-0.2348664686,-0.2348664686,0.0858027386
-9.8280000000,-0.2347805447,-0.2347805447,0.0860463021
-9.8270000000,-0.2346943773,-0.2346943773,0.0862898053
-9.8260000000,-0.2346079664,-0.2346079664,0.0865332479
-9.8250000000,-0.2345213121,-0.2345213121,0.0867766296
-9.8240000000,-0.2344344144,-0.2344344144,0.0870199502
-9.8230000000,-0.2343472735,-0.2343472735,0.0872632094
-9.8220000000,-0.2342598893,-0.2342598893,0.0875064071
-9.8210000000,-0.2341722620,-0.2341722620,0.0877495429
-9.8200000000,-0.2340843915,-0.2340843915,0.0879926167
-9.8190000000,-0.2339962780,-0.2339962780,0.0882356281
-9.8180000000,-0.2339079215,-0.2339079215,0.0884785770
-9.8170000000,-0.2338193221,-0.2338193221,0.0887214630
-9.8160000000,-0.2337304799,-0.2337304799,0.0889642860
-9.8150000000,-0.2336413948,-0.2336413948,0.0892070457
-9.8140000000,-0.2335520671,-0.2335520671,0.0894497419
-9.8130000000,-0.2334624966,-0.2334624966,0.0896923743
-9.8120000000,-0.2333726836,-0.2333726836,0.0899349426
-9.8110000000,-0.2332826280,-0.2332826280,0.0901774467
-9.8100000000,-0.2331923299,-0.2331923299,0.0904198862
-9.8090000000,-0.2331017894,-0.2331017894,0.0906622610
-9.8080000000,-0.2330110066,-0.2330110066,0.0909045708
-9.8070000000,-0.2329199815,-0.2329199815,0.0911468154
-9.8060000000,-0.2328287142,-0.2328287142,0.0913889944
-9.8050000000,-0.2327372048,-0.2327372048,0.0916311077
-9.8040000000,-0.2326454532,-0.2326454532,0.0918731550
-9.8030000000,-0.2325534597,-0.2325534597,0.0921151361
-9.8020000000,-0.2324612242,-0.2324612242,0.0923570508
-9.8010000000,-0.2323687468,-0.2323687468,0.0925988987
-9.8000000000,-0.2322760276,-0.2322760276,0.0928406797
-9.7990000000,-0.2321830666,-0.2321830666,0.0930823935
-9.7980000000,-0.2320898640,-0.2320898640,0.0933240398
-9.7970000000,-0.2319964197,-0.2319964197,0.0935656184
-9.7960000000,-0.2319027339,-0.2319027339,0.0938071291
-9.7950000000,-0.2318088067,-0.2318088067,0.0940485717
-9.7940000000,-0.2317146380,-0.2317146380,0.0942899458
-9.7930000000,-0.2316202279,-0.2316202279,0.0945312513
-9.7920000000,-0.2315255766,-0.2315255766,0.0947724879
-9.7910000000,-0.2314306841,-0.2314306841,0.0950136553
-9.7900000000,-0.2313355505,-0.2313355505,0.0952547534
-9.7890000000,-0.2312401758,-0.2312401758,0.0954957818
-9.7880000000,-0.2311445601,-0.2311445601,0.0957367403
-9.7870000000,-0.2310487035,-0.2310487035,0.0959776287
-9.7860000000,-0.2309526060,-0.2309526060,0.0962184468
-9.7850000000,-0.2308562677,-0.2308562677,0.0964591943
-9.7840000000,-0.2307596887,-0.2307596887,0.0966998709
-9.7830000000,-0.2306628691,-0.2306628691,0.0969404764
-9.7820000000,-0.2305658089,-0.2305658089,0.0971810106
-9.7810000000,-0.2304685082,-0.2304685082,0.0974214733
-9.7800000000,-0.2303709671,-0.2303709671,0.0976618641
-9.7790000000,-0.2302731856,-0.2302731856,0.0979021829
-9.7780000000,-0.2301751638,-0.2301751638,0.0981424293
-9.7770000000,-0.2300769019,-0.2300769019,0.0983826033
-9.7760000000,-0.2299783997,-0.2299783997,0.0986227044
-9.7750000000,-0.2298796576,-0.2298796576,0.0988627325
-9.7740000000,-0.2297806754,-0.2297806754,0.0991026873
-9.7730000000,-0.2296814533,-0.2296814533,0.0993425687
-9.7720000000,-0.2295819913,-0.2295819913,0.0995823763
-9.7710000000,-0.2294822896,-0.2294822896,0.0998221098
-9.7700000000,-0.2293823482,-0.2293823482,0.1000617692
-9.7690000000,-0.2292821672,-0.2292821672,0.1003013540
-9.7680000000,-0.2291817466,-0.2291817466,0.1005408642
-9.7670000000,-0.2290810865,-0.2290810865,0.1007802994
-9.7660000000,-0.2289801870,-0.2289801870,0.1010196593
-9.7650000000,-0.2288790483,-0.2288790483,0.1012589439
-9.7640000000,-0.2287776702,-0.2287776702,0.1014981527
-9.7630000000,-0.2286760530,-0.2286760530,0.1017372856
-9.7620000000,-0.2285741967,-0.2285741967,0.1019763423
-9.7610000000,-0.2284721014,-0.2284721014,0.1022153226
-9.7600000000,-0.2283697671,-0.2283697671,0.1024542263
-9.7590000000,-0.2282671940,-0.2282671940,0.1026930531
-9.7580000000,-0.2281643820,-0.2281643820,0.1029318027
-9.7570000000,-0.2280613314,-0.2280613314,0.1031704749
-9.7560000000,-0.2279580421,-0.2279580421,0.1034090695
-9.7550000000,-0.2278545143,-0.2278545143,0.1036475863
-9.7540000000,-0.2277507480,-0.2277507480,0.1038860249
-9.7530000000,-0.2276467433,-0.2276467433,0.1041243853
-9.7520000000,-0.2275425002,-0.2275425002,0.1043626670
-9.7510000000,-0.2274380190,-0.2274380190,0.1046008699
-9.7500000000,-0.2273332995,-0.2273332995,0.1048389937
-9.7490000000,-0.2272283420,-0.2272283420,0.1050770382
-9.7480000000,-0.2271231464,-0.2271231464,0.1053150031
-9.7470000000,-0.2270177130,-0.2270177130,0.1055528883
-9.7460000000,-0.2269120417,-0.2269120417,0.1057906934
